split,model,tipo_dia,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
test_final,seasonal_naive_daily,DOMINGO,freeze_20260610_192142,baselines_full_20260718,204,510,297,47,51.53431372549019,61.64441835012713,84.90261763948203,167.05863658032735,50.73039215686274
test_final,seasonal_naive_daily,FESTIVO,freeze_20260610_192142,baselines_full_20260718,84,156,68,23,76.27380952380952,94.90778732663667,97.79282499098804,250.46911649726349,75.98809523809524
test_final,seasonal_naive_daily,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,32,104,61,46,13.34375,17.3862373732789,42.24170034758086,47.286821705426355,4.65625
test_final,seasonal_naive_daily,LABORAL,freeze_20260610_192142,baselines_full_20260718,1876,2565,267,586,48.81076759061834,62.90434661474292,43.99513467437455,37.9694400099517,-9.421641791044776
test_final,seasonal_naive_daily,SABADO,freeze_20260610_192142,baselines_full_20260718,432,560,75,91,54.074074074074076,68.48151277967355,56.66259155884589,65.0569526833208,35.736111111111114
test_final,seasonal_naive_weekly,DOMINGO,freeze_20260610_192142,baselines_full_20260718,118,510,297,306,14.516949152542374,20.979206816371008,40.190665201760474,44.55136540962289,-0.059322033898305086
test_final,seasonal_naive_weekly,FESTIVO,freeze_20260610_192142,baselines_full_20260718,87,156,68,4,94.51724137931035,104.04922575065297,118.57650234136867,313.25714285714287,94.49425287356321
test_final,seasonal_naive_weekly,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,42,104,61,4,90.5952380952381,100.62128431471572,118.90054796075175,328.3002588438309,90.5952380952381
test_final,seasonal_naive_weekly,LABORAL,freeze_20260610_192142,baselines_full_20260718,2101,2565,267,354,46.15326035221323,59.71469530854595,40.20710386482379,35.91074900472179,-3.80580675868634
test_final,seasonal_naive_weekly,SABADO,freeze_20260610_192142,baselines_full_20260718,456,560,75,70,35.05263157894737,45.31062382685707,44.47569637320338,42.31818061475735,0.5964912280701754
validation,historical_average_route_day_type_slot,DOMINGO,freeze_20260610_192142,baselines_full_20260718,2397,3774,1377,0,12.94886038727958,16.07884674468012,34.30469275184309,34.71587051160329,3.5646514992271987
validation,historical_average_route_day_type_slot,FESTIVO,freeze_20260610_192142,baselines_full_20260718,257,520,263,0,19.160803841640416,23.82925097751637,48.47522450619687,55.62953668438304,12.551258415168922
validation,historical_average_route_day_type_slot,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,477,728,251,0,13.388873690034341,16.454488939110483,38.970721697917085,39.73923682500393,4.550930452787698
validation,historical_average_route_day_type_slot,LABORAL,freeze_20260610_192142,baselines_full_20260718,19376,20406,1030,0,37.00162125977681,47.702024489010974,26.20824059708363,24.991238904406213,17.493628746167904
validation,historical_average_route_day_type_slot,SABADO,freeze_20260610_192142,baselines_full_20260718,3878,4256,378,0,29.464072480823837,37.173471638424395,31.435287392679818,29.36434878985879,14.427412689207737
validation,naive,DOMINGO,freeze_20260610_192142,baselines_full_20260718,1789,3774,1377,1387,16.797652319731693,21.871224819972213,43.69455389881516,45.06005308062557,-0.08328675237562884
validation,naive,FESTIVO,freeze_20260610_192142,baselines_full_20260718,171,520,263,267,16.68421052631579,21.666666666666668,46.13046730356346,46.56438713889342,-0.27485380116959063
validation,naive,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,380,728,251,252,18.073684210526316,23.579763848645616,51.45396487653407,54.10430124468253,0.43157894736842106
validation,naive,LABORAL,freeze_20260610_192142,baselines_full_20260718,18590,20406,1030,1133,53.793867670790746,69.40264445651785,38.00110949250194,35.907454717479084,2.2389456697149006
validation,naive,SABADO,freeze_20260610_192142,baselines_full_20260718,3625,4256,378,387,41.78179310344827,52.987652432852954,43.92502212171367,40.883704985383154,1.0281379310344827
validation,seasonal_naive_daily,DOMINGO,freeze_20260610_192142,baselines_full_20260718,2345,3774,1377,162,67.37014925373134,79.9533526048191,90.04404435229554,179.86542796639117,65.9859275053305
validation,seasonal_naive_daily,FESTIVO,freeze_20260610_192142,baselines_full_20260718,248,520,263,40,86.125,103.1504733934378,102.99205092965495,249.08454810495627,84.3508064516129
validation,seasonal_naive_daily,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,413,728,251,212,17.25423728813559,22.10189916571051,47.09819477131071,50.68999857732253,4.096852300242131
validation,seasonal_naive_daily,LABORAL,freeze_20260610_192142,baselines_full_20260718,17197,20406,1030,2928,54.39698784671745,72.81304916766145,44.186939708547634,36.21786197826227,-16.380473338372973
validation,seasonal_naive_daily,SABADO,freeze_20260610_192142,baselines_full_20260718,3837,4256,378,157,61.1078967943706,76.84872548930272,50.91641993102435,60.604360952006786,49.0067761271827
validation,seasonal_naive_weekly,DOMINGO,freeze_20260610_192142,baselines_full_20260718,1738,3774,1377,1356,16.326812428078252,21.412465315466967,42.00245599682667,43.213279524861036,0.32796317606444186
validation,seasonal_naive_weekly,FESTIVO,freeze_20260610_192142,baselines_full_20260718,217,520,263,124,91.95852534562212,110.59876833673911,103.59724963098336,265.7831646244007,90.01382488479263
validation,seasonal_naive_weekly,FESTIVO_PUENTE,freeze_20260610_192142,baselines_full_20260718,432,728,251,60,109.38194444444444,124.48820225226164,119.69033201356842,330.14043177530914,106.71064814814815
validation,seasonal_naive_weekly,LABORAL,freeze_20260610_192142,baselines_full_20260718,18674,20406,1030,1423,46.17527042947413,60.395419299634874,34.544278929859175,30.81648531165579,-3.405537110420906
validation,seasonal_naive_weekly,SABADO,freeze_20260610_192142,baselines_full_20260718,3720,4256,378,375,35.009408602150536,44.97628108475681,37.56083333880602,34.221576397136886,0.31747311827956987
