split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
validation,17,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,328,383,34,34,41.073170731707314,54.91673297798777,39.333039361661676,34.674285125987694,-1.2926829268292683
validation,17,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,334,396,43,43,56.7814371257485,79.05021901138859,46.13353728260897,39.67490219869877,-1.4461077844311376
validation,18,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,335,383,48,0,32.81030232386749,41.69937429681676,30.806544669932162,29.92418196753589,26.099044217194127
validation,18,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,324,396,72,0,38.16713590718434,49.06549063689464,30.660272072977197,27.69202802294815,17.471900097658217
validation,18,naive,1,freeze_20260610_192142,baselines_full_20260718,314,383,48,48,40.64331210191083,52.19238053573779,39.12161742661362,36.23200749510263,2.3694267515923566
validation,18,naive,3,freeze_20260610_192142,baselines_full_20260718,300,396,72,74,50.11,65.1635634384738,39.69913305314146,35.84235372657479,6.1033333333333335
validation,18,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,319,383,48,33,44.1692789968652,55.605134965061985,43.49463285248489,39.87096409066471,7.74294670846395
validation,18,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,308,396,72,50,54.314935064935064,68.79677865457622,44.79740964601659,39.433797704075616,10.613636363636363
validation,18,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,326,383,48,28,37.23006134969325,48.8605440077799,35.25810155908,33.29218784287909,9.340490797546012
validation,18,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,311,396,72,44,48.72668810289389,62.8561876154083,37.915128563901376,34.26491204268982,9.434083601286174
validation,19,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,347,383,36,0,30.802743412805505,39.973752550964704,28.947840594216643,27.21256674027066,17.84058023005175
validation,19,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,352,396,44,0,32.73950258070749,46.192814423747706,27.034252499431638,24.153385677716837,9.671445570661005
validation,19,naive,1,freeze_20260610_192142,baselines_full_20260718,323,383,36,38,44.70897832817337,57.678864354188306,41.929899163450926,38.84808866650526,3.328173374613003
validation,19,naive,3,freeze_20260610_192142,baselines_full_20260718,328,396,44,46,48.72256097560975,68.03265446218258,39.434721331992456,35.544928825622776,5.3567073170731705
validation,19,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,301,383,36,58,52.61794019933555,70.43712589479313,52.48650215492926,46.773574318537555,-0.11960132890365449
validation,19,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,306,396,44,67,65.49019607843137,85.3503736049808,57.75606600201617,48.139518124384445,-0.1111111111111111
validation,19,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,310,383,36,56,42.20967741935484,55.0563054898669,41.29095930139247,35.25433775191292,-8.1
validation,19,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,310,396,44,70,51.72258064516129,70.98868605902702,43.17189222434431,34.879269088536006,-13.296774193548387
