split,fold,model,route,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
validation,25,naive,1,freeze_20260610_192142,baselines_full_20260718,333,386,31,30,47.990990990990994,61.835464133655734,40.29534146894038,39.12213273274743,3.324324324324324
validation,25,naive,3,freeze_20260610_192142,baselines_full_20260718,336,398,39,39,55.3125,72.61704427369389,40.39171825805122,36.420466793391995,-0.17559523809523808
validation,25,seasonal_naive_daily,1,freeze_20260610_192142,baselines_full_20260718,335,386,31,34,55.474626865671645,72.77271917907436,51.605308728979004,46.439102403918234,3.0925373134328358
validation,25,seasonal_naive_daily,3,freeze_20260610_192142,baselines_full_20260718,336,398,39,41,66.22321428571429,89.23192427334406,51.68480146637351,45.809400284108456,3.568452380952381
validation,25,seasonal_naive_weekly,1,freeze_20260610_192142,baselines_full_20260718,340,386,31,31,39.34705882352941,51.48409234614011,34.380570619643514,31.67440098494176,0.06470588235294118
validation,25,seasonal_naive_weekly,3,freeze_20260610_192142,baselines_full_20260718,348,398,39,33,45.3448275862069,59.431647206308966,33.52551382005347,30.536419227494388,-3.8620689655172415
validation,26,historical_average_route_day_type_slot,1,freeze_20260610_192142,baselines_full_20260718,338,383,45,0,28.71000433796867,35.91589532274308,27.32396689988294,24.81455906058766,13.988658737986672
validation,26,historical_average_route_day_type_slot,3,freeze_20260610_192142,baselines_full_20260718,344,396,52,0,32.02955128361082,40.860955127144074,27.83152118221441,24.092374525095934,12.217513296757895
validation,26,naive,1,freeze_20260610_192142,baselines_full_20260718,312,383,45,45,43.1025641025641,55.811495920850184,38.09510524179295,36.00439077936334,1.3782051282051282
validation,26,naive,3,freeze_20260610_192142,baselines_full_20260718,319,396,52,51,50.83699059561128,67.30655550385195,39.41072005759656,36.60143995305482,0.54858934169279
