split,model,hora_del_dia,dataset_version,run_id,n,n_total,missing_y,missing_pred,mae,rmse,smape,wape,bias_mean
test_final,historical_average_route_day_type_slot,16,freeze_20260610_192142,baselines_full_20260718,204,281,77,0,43.29142305890497,51.7632711310247,45.75017801214885,50.19010175049223,40.28900703098928
test_final,historical_average_route_day_type_slot,17,freeze_20260610_192142,baselines_full_20260718,89,250,161,0,24.142893792632012,28.742450720498365,48.2070755023164,52.1660001831573,21.3132406900285
test_final,historical_average_route_day_type_slot,18,freeze_20260610_192142,baselines_full_20260718,3,100,97,0,2.11359590565198,2.7641324477097933,9.21046048813438,9.60725411659991,2.11359590565198
test_final,naive,4,freeze_20260610_192142,baselines_full_20260718,58,185,29,127,74.25862068965517,85.9216764429013,83.99712482210892,62.54719721173395,-70.74137931034483
test_final,naive,5,freeze_20260610_192142,baselines_full_20260718,216,280,64,64,70.31481481481481,93.80821649238132,43.45314077276562,39.61088073442349,-31.425925925925927
test_final,naive,6,freeze_20260610_192142,baselines_full_20260718,216,280,60,64,65.50925925925925,88.32258844502707,36.16930510506717,37.57202410982183,7.305555555555555
test_final,naive,7,freeze_20260610_192142,baselines_full_20260718,233,280,24,41,54.128755364806864,70.71401631221559,44.25011316191703,44.79488545551412,14.669527896995708
test_final,naive,8,freeze_20260610_192142,baselines_full_20260718,250,280,17,17,43.388,54.95543649176121,41.78996836325678,39.07279997118259,2.036
test_final,naive,9,freeze_20260610_192142,baselines_full_20260718,238,280,27,25,46.168067226890756,57.527048807824436,43.71750737676542,44.51466537028034,10.697478991596638
test_final,naive,10,freeze_20260610_192142,baselines_full_20260718,233,280,31,30,41.776824034334766,52.879326546067745,45.53567406435901,44.575720108073455,1.742489270386266
test_final,naive,11,freeze_20260610_192142,baselines_full_20260718,239,280,23,25,39.66945606694561,52.49184037009305,44.994589200445375,44.079222650983304,-3.7364016736401675
test_final,naive,12,freeze_20260610_192142,baselines_full_20260718,236,280,30,24,43.54237288135593,55.384097944127845,42.00208070586421,39.99844303452571,-3.2457627118644066
test_final,naive,13,freeze_20260610_192142,baselines_full_20260718,222,280,39,37,49.64414414414414,63.14208915947764,45.8183728296195,44.59235282217277,-3.68018018018018
test_final,naive,14,freeze_20260610_192142,baselines_full_20260718,214,280,41,40,50.8177570093458,65.1200544788401,45.49758267379672,45.10389448799303,-0.5654205607476636
test_final,naive,15,freeze_20260610_192142,baselines_full_20260718,212,279,48,39,47.198113207547166,60.88947611769043,40.61570295016924,39.68430237169826,1.5566037735849056
test_final,naive,16,freeze_20260610_192142,baselines_full_20260718,191,281,77,64,42.916230366492144,55.65041407202138,44.211252851785986,48.07624633431085,25.45026178010471
test_final,naive,17,freeze_20260610_192142,baselines_full_20260718,78,250,161,80,35.98717948717949,45.78755289377234,57.293594527104496,74.69398616285258,25.78205128205128
test_final,naive,18,freeze_20260610_192142,baselines_full_20260718,1,100,97,84,1.0,1.0,4.878048780487805,4.761904761904762,-1.0
test_final,seasonal_naive_daily,4,freeze_20260610_192142,baselines_full_20260718,116,185,29,50,30.32758620689655,42.4461118807495,30.12467220554659,31.565724540152534,6.224137931034483
test_final,seasonal_naive_daily,5,freeze_20260610_192142,baselines_full_20260718,164,280,64,64,51.40853658536585,66.02923410200637,30.52934023206193,28.70127659574468,12.762195121951219
test_final,seasonal_naive_daily,6,freeze_20260610_192142,baselines_full_20260718,169,280,60,60,63.650887573964496,83.80108174585307,38.425948417706955,37.09182441984759,9.165680473372781
test_final,seasonal_naive_daily,7,freeze_20260610_192142,baselines_full_20260718,232,280,24,24,53.92672413793103,68.13510285733273,55.71856126604672,47.715484363081615,3.2198275862068964
test_final,seasonal_naive_daily,8,freeze_20260610_192142,baselines_full_20260718,245,280,17,18,53.906122448979595,67.08109621486335,56.79406671956685,50.0454717696097,0.7795918367346939
test_final,seasonal_naive_daily,9,freeze_20260610_192142,baselines_full_20260718,227,280,27,27,46.42290748898679,58.7650440013089,51.30677728973561,47.54556939180654,4.11453744493392
test_final,seasonal_naive_daily,10,freeze_20260610_192142,baselines_full_20260718,220,280,31,31,45.018181818181816,55.9264126899235,53.48082424744825,51.03839216696727,4.7
test_final,seasonal_naive_daily,11,freeze_20260610_192142,baselines_full_20260718,235,280,23,23,43.672340425531914,54.46095614916113,53.58148367896807,51.12583441267311,2.7191489361702126
test_final,seasonal_naive_daily,12,freeze_20260610_192142,baselines_full_20260718,222,280,30,30,49.75675675675676,63.15881598032088,52.769144137726045,47.454568887743264,5.72972972972973
test_final,seasonal_naive_daily,13,freeze_20260610_192142,baselines_full_20260718,205,280,39,39,56.22439024390244,71.31031465089575,56.72673665647393,53.019918119508716,5.2
test_final,seasonal_naive_daily,14,freeze_20260610_192142,baselines_full_20260718,207,280,41,40,57.30434782608695,73.04978118653722,59.26674397189693,54.67871300820504,4.483091787439614
test_final,seasonal_naive_daily,15,freeze_20260610_192142,baselines_full_20260718,191,279,48,48,60.06282722513089,74.49241853268136,58.41171886786538,54.31303853801723,10.0
test_final,seasonal_naive_daily,16,freeze_20260610_192142,baselines_full_20260718,153,281,77,77,40.450980392156865,51.17999762468483,47.7337115802029,47.37083811710677,9.169934640522875
test_final,seasonal_naive_daily,17,freeze_20260610_192142,baselines_full_20260718,42,250,161,165,25.047619047619047,30.1093246116785,47.31320619578083,48.816705336426914,3.7142857142857144
test_final,seasonal_naive_daily,18,freeze_20260610_192142,baselines_full_20260718,0,100,97,97,,,,,
test_final,seasonal_naive_weekly,4,freeze_20260610_192142,baselines_full_20260718,139,185,29,28,30.302158273381295,41.56766175282322,31.684673256520355,31.839141280520067,-3.7697841726618706
test_final,seasonal_naive_weekly,5,freeze_20260610_192142,baselines_full_20260718,196,280,64,60,43.65816326530612,58.33545671548378,25.996024507043064,24.783502765951283,1.1989795918367347
test_final,seasonal_naive_weekly,6,freeze_20260610_192142,baselines_full_20260718,198,280,60,58,55.7979797979798,70.7174631612277,35.28198702174045,32.380784899909145,0.9191919191919192
test_final,seasonal_naive_weekly,7,freeze_20260610_192142,baselines_full_20260718,238,280,24,23,46.59243697478992,61.3785266148656,44.5847154451954,40.07879138354778,1.3235294117647058
test_final,seasonal_naive_weekly,8,freeze_20260610_192142,baselines_full_20260718,249,280,17,17,45.261044176706825,59.09525358253348,47.058925994884795,42.3556825015033,3.6706827309236947
test_final,seasonal_naive_weekly,9,freeze_20260610_192142,baselines_full_20260718,236,280,27,25,41.902542372881356,54.705025642151696,45.21828646966385,40.88052914427449,1.13135593220339
test_final,seasonal_naive_weekly,10,freeze_20260610_192142,baselines_full_20260718,228,280,31,28,42.666666666666664,55.403464328948985,49.116850644754585,46.18525376252196,0.08771929824561403
test_final,seasonal_naive_weekly,11,freeze_20260610_192142,baselines_full_20260718,243,280,23,22,43.48559670781893,56.56181294060129,51.83592893372254,49.034802784222734,2.4403292181069958
test_final,seasonal_naive_weekly,12,freeze_20260610_192142,baselines_full_20260718,234,280,30,27,43.02991452991453,55.66286644482748,46.577596266372055,40.04533884823417,-0.21794871794871795
test_final,seasonal_naive_weekly,13,freeze_20260610_192142,baselines_full_20260718,213,280,39,39,53.901408450704224,69.32027459180732,50.950609958502156,48.99709798566064,1.1784037558685445
