corte,semanas_entrenamiento,regimen,n,demanda_media,filas_ajuste,arboles,mae,sesgo
2025-11-27,26,raro,12,30.833333333333332,4147,107,13.759039560953775,13.214446385701498
2025-11-27,52,ordinario,318,122.54716981132076,8705,103,31.490729218009132,8.574213723716495
2025-11-27,52,raro,12,30.833333333333332,8705,103,21.150231043497723,21.150231043497723
2025-11-27,78,ordinario,318,122.54716981132076,13307,158,30.441520918840133,4.793538663372304
2025-11-27,78,raro,12,30.833333333333332,13307,158,17.753340403238933,17.753340403238933
2025-11-27,999,ordinario,318,122.54716981132076,14433,249,30.647405996262652,5.331482941249631
2025-11-27,999,raro,12,30.833333333333332,14433,249,15.005303064982096,15.005303064982096
2025-10-02,8,ordinario,324,118.90432098765432,1042,269,25.591951293709837,-0.8649071881800522
2025-10-02,8,raro,15,32.4,1042,269,13.400359471638998,8.050871404012044
2025-10-02,10,ordinario,324,118.90432098765432,1387,104,25.743342493787225,-2.66902200675305
2025-10-02,10,raro,15,32.4,1387,104,16.50945790608724,13.017533874511718
2025-10-02,13,ordinario,324,118.90432098765432,1899,160,25.323801982549973,-2.647001749203529
2025-10-02,13,raro,15,32.4,1899,160,15.276998392740886,11.057604471842447
2025-10-02,26,ordinario,324,118.90432098765432,4170,210,25.034106890360516,-1.96982937094606
2025-10-02,26,raro,15,32.4,4170,210,12.538397216796875,7.274965413411459
2025-10-02,52,ordinario,324,118.90432098765432,8734,365,28.60434362034739,15.162444120571937
2025-10-02,52,raro,15,32.4,8734,365,12.172307332356771,5.106612141927084
2025-10-02,999,ordinario,324,118.90432098765432,13042,326,26.462907196562966,7.584682223237591
2025-10-02,999,raro,15,32.4,13042,326,10.066125742594402,1.860284423828125
2025-08-07,8,ordinario,301,114.80066445182725,1019,508,29.438945599172598,-8.235041957360961
2025-08-07,8,raro,35,34.6,1019,508,40.232193047659734,39.692557907104494
2025-08-07,10,ordinario,301,114.80066445182725,1369,86,29.01408784175632,-6.702729906354632
2025-08-07,10,raro,35,34.6,1369,86,21.82424501691546,19.59532241821289
2025-08-07,13,ordinario,301,114.80066445182725,1911,429,27.707927390190456,-6.0230291024395
2025-08-07,13,raro,35,34.6,1911,429,22.81910754612514,20.4985041482108
2025-08-07,26,ordinario,301,114.80066445182725,4219,601,27.59038772456274,-6.7809686565716
2025-08-07,26,raro,35,34.6,4219,601,13.636686979021345,3.841880852835519
2025-08-07,52,ordinario,301,114.80066445182725,8751,261,31.15369035080818,13.36559835541684
2025-08-07,52,raro,35,34.6,8751,261,14.031568581717355,5.531176539829799
2025-08-07,999,ordinario,301,114.80066445182725,11655,258,29.931504417495475,8.81890527592149
2025-08-07,999,raro,35,34.6,11655,258,12.934462247576032,5.509927749633789
2025-06-12,8,ordinario,325,114.55076923076923,1049,312,27.27475366445688,3.747417203463041
2025-06-12,8,raro,8,22.875,1049,312,28.217018842697144,27.46821427345276
2025-06-12,10,ordinario,325,114.55076923076923,1414,490,27.263035621643066,5.369946937561036
2025-06-12,10,raro,8,22.875,1414,490,43.9413423538208,43.9413423538208
2025-06-12,13,ordinario,325,114.55076923076923,1947,330,27.21185477917011,4.690204523526705
2025-06-12,13,raro,8,22.875,1947,330,35.20547842979431,35.20547842979431
2025-06-12,26,ordinario,325,114.55076923076923,4205,124,26.359382705688475,6.602684062077449
2025-06-12,26,raro,8,22.875,4205,124,31.11305594444275,30.26959490776062
2025-06-12,52,ordinario,325,114.55076923076923,8809,105,28.810447927621695,14.755738701453575
2025-06-12,52,raro,8,22.875,8809,105,30.951221466064453,30.149995803833008
2025-06-12,999,ordinario,325,114.55076923076923,10286,230,28.017346907395584,13.138880791297325
2025-06-12,999,raro,8,22.875,10286,230,17.640193700790405,17.640193700790405
