route,dia_op,tipo_dia,hora,real,pred_sarima,pred_media
3,2026-04-07,LABORAL,06:00,358.0,138.22847222431412,297.8666666666667
3,2026-04-07,LABORAL,06:30,182.0,162.53727255461084,214.40833333333333
3,2026-04-07,LABORAL,07:00,214.0,132.32392968408308,173.18333333333334
3,2026-04-07,LABORAL,07:30,200.0,121.60102924070598,151.01680672268907
3,2026-04-07,LABORAL,08:00,177.0,130.7882582765076,139.01724137931035
3,2026-04-07,LABORAL,08:30,130.0,112.12491255061298,139.30252100840337
3,2026-04-07,LABORAL,09:00,91.0,118.24298472340342,137.43697478991598
3,2026-04-07,LABORAL,09:30,144.0,117.2975109891389,119.71186440677967
3,2026-04-07,LABORAL,10:00,185.0,116.96471984178106,128.26271186440678
3,2026-04-07,LABORAL,10:30,96.0,100.51387174040008,115.76666666666667
3,2026-04-07,LABORAL,11:00,107.0,125.29315741964733,109.74789915966386
3,2026-04-07,LABORAL,11:30,183.0,107.1751454053227,130.2941176470588
3,2026-04-07,LABORAL,12:00,133.0,125.19130994415264,170.94166666666666
3,2026-04-07,LABORAL,12:30,194.0,121.03018145018319,138.09322033898306
3,2026-04-07,LABORAL,13:00,98.0,106.7772267506007,138.44166666666666
3,2026-04-07,LABORAL,13:30,150.0,117.49222199750484,134.30252100840337
3,2026-04-07,LABORAL,14:00,189.0,102.55563546305206,127.72268907563026
3,2026-04-07,LABORAL,14:30,168.0,113.74526215453501,143.95762711864407
3,2026-04-07,LABORAL,15:00,111.0,104.0101708871008,142.3361344537815
3,2026-04-07,LABORAL,15:30,174.0,101.46885667074002,136.0593220338983
3,2026-04-07,LABORAL,16:00,111.0,105.37210095683567,106.58620689655173
3,2026-04-07,LABORAL,16:30,108.0,101.84143735108357,83.74782608695652
3,2026-04-08,LABORAL,04:00,88.0,96.75435498339286,55.9646017699115
3,2026-04-08,LABORAL,04:30,146.0,107.62267864858804,142.5546218487395
3,2026-04-08,LABORAL,05:00,229.0,123.58487449635312,266.775
3,2026-04-08,LABORAL,05:30,335.0,205.70087557988614,241.44166666666666
3,2026-04-08,LABORAL,06:00,278.0,182.05711958460518,298.34166666666664
3,2026-04-08,LABORAL,06:30,162.0,198.53260908306606,213.575
3,2026-04-08,LABORAL,07:00,154.0,161.0509018704232,172.89166666666668
3,2026-04-08,LABORAL,07:30,108.0,158.8510068838833,151.4453781512605
3,2026-04-08,LABORAL,08:00,168.0,151.1443776424194,139.56034482758622
3,2026-04-08,LABORAL,08:30,127.0,147.60301865569252,139.58823529411765
3,2026-04-08,LABORAL,09:00,147.0,129.11851316018578,136.61344537815125
3,2026-04-08,LABORAL,09:30,119.0,120.51630891940121,119.38135593220339
3,2026-04-08,LABORAL,10:00,126.0,133.1187250546476,129.27966101694915
3,2026-04-08,LABORAL,10:30,155.0,142.93890891293734,114.95
3,2026-04-08,LABORAL,11:00,98.0,114.28874313402129,110.0
3,2026-04-08,LABORAL,11:30,121.0,124.65342233863738,130.65546218487395
3,2026-04-08,LABORAL,12:00,229.0,137.4882201384381,170.475
3,2026-04-08,LABORAL,12:30,98.0,130.2031289169954,138.47457627118644
3,2026-04-08,LABORAL,13:00,191.0,143.83886393375033,138.03333333333333
3,2026-04-08,LABORAL,13:30,186.0,114.20388333366185,133.91596638655463
3,2026-04-08,LABORAL,14:00,91.0,130.44183890670956,127.63865546218487
3,2026-04-08,LABORAL,14:30,195.0,134.96164116812452,143.97457627118644
3,2026-04-08,LABORAL,15:00,61.0,132.54206365842,141.9747899159664
3,2026-04-08,LABORAL,15:30,106.0,114.39205931819606,136.64406779661016
3,2026-04-08,LABORAL,16:00,140.0,129.08021027134006,106.13793103448276
3,2026-04-08,LABORAL,16:30,55.0,113.75369864799761,83.54782608695652
3,2026-04-08,LABORAL,17:00,40.0,111.40787891226834,53.36666666666667
3,2026-04-09,LABORAL,04:00,77.0,65.81052031578845,56.29203539823009
3,2026-04-09,LABORAL,04:30,66.0,93.26002385812716,142.1596638655462
3,2026-04-09,LABORAL,05:00,348.0,121.62520703513013,267.39166666666665
3,2026-04-09,LABORAL,05:30,236.0,173.85595297243822,241.125
3,2026-04-09,LABORAL,06:00,306.0,151.84916361406164,298.75
3,2026-04-09,LABORAL,06:30,126.0,126.26790448996394,213.13333333333333
3,2026-04-09,LABORAL,07:00,183.0,112.69321257080688,172.05
3,2026-04-09,LABORAL,07:30,230.0,100.01668536837143,150.67226890756302
3,2026-04-09,LABORAL,08:00,90.0,113.2588658240792,139.81034482758622
3,2026-04-09,LABORAL,08:30,120.0,101.14413002810939,139.21848739495798
3,2026-04-09,LABORAL,09:00,139.0,100.85479081374254,137.63025210084032
3,2026-04-09,LABORAL,09:30,145.0,90.6759291102493,119.72033898305085
3,2026-04-09,LABORAL,10:00,170.0,95.9877227294416,129.51694915254237
3,2026-04-09,LABORAL,10:30,38.0,106.24362695678916,115.14166666666667
3,2026-04-09,LABORAL,11:00,172.0,82.7552682228444,109.70588235294117
3,2026-04-09,LABORAL,11:30,78.0,91.40580968641896,130.71428571428572
3,2026-04-09,LABORAL,12:00,159.0,123.33736943677275,170.31666666666666
3,2026-04-09,LABORAL,12:30,43.0,86.57248884354345,138.5084745762712
3,2026-04-09,LABORAL,13:00,169.0,114.72223769517679,138.81666666666666
3,2026-04-09,LABORAL,13:30,141.0,104.55383991153049,134.10084033613447
3,2026-04-09,LABORAL,14:00,81.0,84.19048085166418,127.05042016806723
3,2026-04-09,LABORAL,14:30,162.0,112.61847051421911,144.40677966101694
3,2026-04-09,LABORAL,15:00,126.0,76.50280211472878,141.08403361344537
3,2026-04-09,LABORAL,15:30,144.0,82.78765547914306,136.33898305084745
3,2026-04-09,LABORAL,16:00,93.0,95.81511021577882,106.46551724137932
3,2026-04-09,LABORAL,16:30,78.0,68.80125965492351,83.18260869565218
3,2026-04-09,LABORAL,17:00,41.0,64.01454358322064,53.27777777777778
3,2026-04-10,LABORAL,04:00,93.0,74.14896303488612,56.473684210526315
3,2026-04-10,LABORAL,04:30,50.0,83.2706136959326,140.8655462184874
3,2026-04-10,LABORAL,05:00,298.0,166.90544961156928,268.4166666666667
3,2026-04-10,LABORAL,05:30,229.0,153.0967025900203,240.175
3,2026-04-10,LABORAL,06:00,416.0,164.61582156734883,299.2
3,2026-04-10,LABORAL,06:30,134.0,109.15886909452958,211.98333333333332
3,2026-04-10,LABORAL,07:00,192.0,119.68343379636859,172.25
3,2026-04-10,LABORAL,07:30,153.0,127.89494210804656,150.7563025210084
3,2026-04-10,LABORAL,08:00,186.0,94.52543558510385,139.97413793103448
3,2026-04-10,LABORAL,08:30,170.0,98.45286586236368,138.890756302521
3,2026-04-10,LABORAL,09:00,142.0,102.95325218959017,137.91596638655463
3,2026-04-10,LABORAL,09:30,78.0,101.11965845463439,119.86440677966101
