route,dia_op,tipo_dia,n,relleno_objetivo_ajuste_pct,relleno_objetivo_stop_pct,mae_original,mae_enmascarada,delta_mae,sesgo_original,sesgo_enmascarada,epoca_mejor_original,epoca_mejor_enmascarada,epocas_original,epocas_enmascarada,segundos_original,segundos_enmascarada,mae_stop_observado_original,mae_stop_relleno_original,aporte_relleno_loss_original
1,2026-04-14,LABORAL,26,12.87567,25.0,27.201253450833836,28.886211982140175,-1.6849585313063393,4.3123345008263225,0.2003335219163161,426,345,456,375,1.7671431000344455,1.4947082999860868,0.4807499349117279,0.22851575911045074,0.13677307329774413
1,2026-04-15,LABORAL,26,12.885963,24.725277,25.460248947143555,28.31068699176495,-2.850438044621395,5.38280648451585,11.262639999389648,400,337,430,367,1.7672958999173716,2.071326599922031,0.4575558602809906,0.22032767534255981,0.13656692953435198
1,2026-04-16,LABORAL,25,12.834501,21.703297,32.71799591064453,32.643115539550784,0.07488037109374801,5.078719787597656,-7.8781259155273435,381,294,411,324,2.319280100055039,1.7934030999895185,0.4664088189601898,0.22706015408039093,0.11889993173892978
1,2026-04-17,LABORAL,25,12.865376,17.032969,28.311677551269533,30.282920532226562,-1.9712429809570295,-4.419624328613281,-13.849069213867187,224,110,254,140,1.6800203000893816,0.774996199994348,0.4971165955066681,0.24276138842105865,0.09111979855641396
1,2026-04-18,SABADO,26,13.040346,16.208792,12.643944813654972,15.016027303842398,-2.3720824901874256,1.971227058997521,4.731582348163311,447,110,477,140,2.200540199992247,0.5783471999457106,0.4903658926486969,0.20711442828178406,0.07553251345767253
1,2026-04-19,DOMINGO,13,13.009471,12.087912,12.401768611027645,11.23440434382512,1.1673642672025242,1.1117506760817308,-1.5010974590594952,500,384,530,414,2.900013900012709,2.4368386999703944,0.4812287986278534,0.22057192027568817,0.059286871922578165
1,2026-04-20,LABORAL,26,13.184441,16.208792,31.855567051814152,31.420667208158054,0.4348998436560976,12.48287875835712,10.844512352576622,468,264,498,294,3.108349399990402,1.7281813999870792,0.4687817096710205,0.1860533058643341,0.07130073599314624
1,2026-04-21,LABORAL,27,13.174147,16.208792,42.073484067563655,40.21291478474935,1.8605692828143034,2.8926849365234375,-0.40409243548357926,262,312,292,342,1.7729103999445215,1.9389378000050783,0.48887744545936584,0.20186850428581238,0.07396844974734344
1,2026-04-22,LABORAL,24,13.184441,15.934068,31.602996190388996,31.423516273498535,0.17947991689046106,3.7875874837239585,5.23795731862386,504,293,534,323,2.7812474999809638,1.7798329000361264,0.4955127239227295,0.1711157262325287,0.06143369586017251
1,2026-04-23,LABORAL,23,13.194728,16.75824,32.3971182781717,33.95267652428669,-1.555558246114984,24.611418019170348,18.33539879840353,248,297,278,327,1.9134383000200614,1.4159564999863505,0.5185854434967041,0.2397007793188095,0.08513236082193232
1,2026-04-24,LABORAL,25,13.194728,17.582417,21.379408874511718,37.89858139038086,-16.519172515869144,-6.085184020996094,-35.574805145263674,265,256,295,286,1.3005331999156624,1.6046990000177175,0.5281516909599304,0.32099223136901855,0.11477521656875436
1,2026-04-25,SABADO,26,13.205022,17.307693,25.298905739417442,24.28839844923753,1.0105072901799126,-2.6396204141470103,4.407643538254958,243,311,273,341,2.0072410999564454,1.9414550000801682,0.5236666202545166,0.33850768208503723,0.11917309435722981
1,2026-04-26,DOMINGO,9,13.071221,12.362635,9.447767469618055,8.774559868706596,0.6732076009114589,4.6985626220703125,2.8721143934461804,435,110,465,140,2.9492497000610456,0.8025977000361308,0.5147597789764404,0.36578163504600525,0.09110702539202366
1,2026-04-27,LABORAL,27,13.277072,17.307693,35.43748078522859,30.28822920057509,5.1492515846534985,18.87285077130353,9.086409674750435,423,335,453,365,2.5866398999933153,2.0983716000337154,0.5015857219696045,0.316057950258255,0.11651805649223944
