route,dia_op,tipo_dia,n,demanda_media,mae_lstm,sesgo_lstm,rango_pred_lstm,rango_real,mae_media,sesgo_media,celdas_sin_media,epocas,ejemplos_ajuste,segundos
1,2026-06-04,LABORAL,26,103.57692307692308,25.132381745069324,10.298509324705465,94.34006150648591,142.0,27.794154501524698,17.53869839403239,0,153,163,0.5578043999848887
1,2026-06-05,LABORAL,26,114.57692307692308,28.968055672175613,-16.802949247423733,69.63329347518406,249.0,27.006827176652315,6.2104250825682685,0,121,162,0.43412490002810955
1,2026-06-06,SABADO,21,84.80952380952381,24.992147334227845,-0.32849065189495874,32.837870791835115,119.0,25.056898656898657,-4.450586080586079,0,121,161,0.433268400025554
1,2026-06-07,DOMINGO,17,29.647058823529413,17.55305973570106,11.508640958414999,47.321686639251766,52.0,10.355925852048458,4.899712588711089,0,120,161,0.42598310008179396
1,2026-06-08,FESTIVO_PUENTE,8,24.625,78.23467672288717,78.23467672288717,28.669833680160096,38.0,15.59375,7.218749999999999,0,117,161,0.4321274000685662
1,2026-06-09,LABORAL,25,114.64,23.21548556732487,4.133201054864199,86.04600799724946,137.0,26.318823674276317,8.083542772171887,0,118,161,0.44163129990920424
1,2026-06-10,LABORAL,24,91.83333333333333,40.406979456458345,31.423614330080227,65.10545235492849,130.0,42.339035197774606,31.52473781215369,0,120,161,0.42470550001598895
3,2026-04-02,FESTIVO,19,31.0,17.57082554836704,4.095900074468101,119.07121330375185,51.0,61.93377202925699,47.354824660835945,10,428,161,1.4955343999899924
3,2026-04-03,FESTIVO,11,21.818181818181817,28.895824670601158,28.754556423358313,104.18491739508394,34.0,10.515151515151514,8.212121212121211,0,400,161,1.4114201999036595
3,2026-04-04,SABADO,23,60.17391304347826,38.66082020510451,32.40062655742433,162.28183375933838,82.0,43.75151783943844,41.6991694317025,0,355,161,1.2782563000218943
3,2026-04-05,DOMINGO,11,27.181818181818183,13.77351940866373,13.77351940866373,37.74380347609919,21.0,8.666173255865067,7.643445983137794,0,148,161,0.5661178999580443
3,2026-04-06,LABORAL,27,146.85185185185185,30.592536120862583,-0.852679440636726,243.5967445396911,287.0,29.864274893669283,-1.4899831577425386,0,158,161,0.6137886000797153
3,2026-04-07,LABORAL,26,163.5,38.428345856458115,-19.779242025102366,230.93786001813032,316.0,37.359920678252486,-14.080041790005563,0,325,161,1.1087136999703944
3,2026-04-08,LABORAL,27,146.40740740740742,35.281962485737,3.959174392531756,269.26852395165315,295.0,33.22068594798877,-0.5851297915214348,0,142,161,0.6857995000900701
3,2026-04-09,LABORAL,27,139.2962962962963,36.06846876192993,3.229063892398373,247.27177345473586,310.0,35.43687471352355,6.502997919190216,0,174,161,0.6275183000834659
3,2026-04-10,LABORAL,27,143.03703703703704,37.45932566568675,-13.845469587740745,209.1329104869998,379.0,35.605342317211246,2.614109089560961,0,144,161,0.5112303999485448
3,2026-04-11,SABADO,24,98.04166666666667,28.211591141158674,3.0769748816897216,164.9016824553589,214.0,26.61532603806059,-0.013947466212912355,0,142,161,0.5163691999623552
3,2026-04-12,DOMINGO,8,28.375,10.000236258713798,4.742302932427137,19.355693783118085,17.0,7.602773268398268,7.602773268398268,0,147,161,0.5345830000005662
