route,dia_op,tipo_dia,hora,real,pred_grilla
1,2026-04-10,LABORAL,05:30,139.0,116.90119
1,2026-04-10,LABORAL,06:00,131.0,117.67418
1,2026-04-10,LABORAL,06:30,93.0,113.082375
1,2026-04-10,LABORAL,07:00,152.0,98.452835
1,2026-04-10,LABORAL,07:30,98.0,100.537735
1,2026-04-10,LABORAL,08:00,187.0,101.318855
1,2026-04-10,LABORAL,08:30,81.0,106.46934
1,2026-04-10,LABORAL,09:00,162.0,109.115974
1,2026-04-10,LABORAL,09:30,144.0,94.835976
1,2026-04-10,LABORAL,10:00,90.0,84.44848
1,2026-04-10,LABORAL,10:30,87.0,80.62853
1,2026-04-10,LABORAL,11:00,99.0,81.904495
1,2026-04-10,LABORAL,11:30,100.0,80.111725
1,2026-04-10,LABORAL,12:00,134.0,88.73184
1,2026-04-10,LABORAL,12:30,88.0,104.88791
1,2026-04-10,LABORAL,13:00,132.0,97.4726
1,2026-04-10,LABORAL,13:30,162.0,105.291
1,2026-04-10,LABORAL,14:00,172.0,109.31722
1,2026-04-10,LABORAL,14:30,205.0,107.68135
1,2026-04-10,LABORAL,15:00,101.0,120.40015
1,2026-04-10,LABORAL,15:30,211.0,132.16382
1,2026-04-10,LABORAL,16:00,104.0,102.946304
1,2026-04-10,LABORAL,16:30,165.0,91.4399
1,2026-04-10,LABORAL,17:00,56.0,54.010967
1,2026-04-11,SABADO,04:30,65.0,102.18952
1,2026-04-11,SABADO,05:00,50.0,71.459625
1,2026-04-11,SABADO,05:30,87.0,108.575745
1,2026-04-11,SABADO,06:00,66.0,112.31054
1,2026-04-11,SABADO,06:30,125.0,113.38053
1,2026-04-11,SABADO,07:00,104.0,95.389275
1,2026-04-11,SABADO,07:30,88.0,89.76712
1,2026-04-11,SABADO,08:00,55.0,93.7615
1,2026-04-11,SABADO,08:30,59.0,92.14859
1,2026-04-11,SABADO,09:00,101.0,89.72946
1,2026-04-11,SABADO,09:30,52.0,87.38341
1,2026-04-11,SABADO,10:00,123.0,72.77046
1,2026-04-11,SABADO,10:30,103.0,87.78885
1,2026-04-11,SABADO,11:00,63.0,73.59396
1,2026-04-11,SABADO,11:30,58.0,84.27515
1,2026-04-11,SABADO,12:00,176.0,81.91666
1,2026-04-11,SABADO,13:00,57.0,95.71421
1,2026-04-11,SABADO,13:30,92.0,92.445206
1,2026-04-11,SABADO,14:00,62.0,94.694855
1,2026-04-11,SABADO,15:00,69.0,117.35025
1,2026-04-11,SABADO,15:30,82.0,124.22789
1,2026-04-11,SABADO,16:00,44.0,87.18543
1,2026-04-11,SABADO,16:30,43.0,76.7306
1,2026-04-11,SABADO,17:30,30.0,31.957603
1,2026-04-12,DOMINGO,07:30,30.0,37.422485
1,2026-04-12,DOMINGO,08:00,28.0,40.703484
1,2026-04-12,DOMINGO,09:30,31.0,32.983
1,2026-04-12,DOMINGO,10:30,36.0,42.981186
1,2026-04-12,DOMINGO,12:00,36.0,39.21878
1,2026-04-12,DOMINGO,13:30,23.0,28.86728
1,2026-04-12,DOMINGO,14:30,22.0,38.866158
1,2026-04-12,DOMINGO,15:30,37.0,66.70933
1,2026-04-13,LABORAL,04:30,117.0,130.46254
1,2026-04-13,LABORAL,05:00,119.0,120.621445
1,2026-04-13,LABORAL,05:30,79.0,141.01955
1,2026-04-13,LABORAL,06:00,138.0,142.60295
1,2026-04-13,LABORAL,06:30,215.0,132.05872
1,2026-04-13,LABORAL,07:00,78.0,133.22888
