route,dia_op,tipo_dia,hora,real,pred_prophet,pred_media
1,2026-04-09,LABORAL,04:30,82.0,110.0988474993948,115.275
1,2026-04-09,LABORAL,05:00,150.0,113.67607932275256,115.68067226890756
1,2026-04-09,LABORAL,05:30,110.0,119.32268951726545,133.96666666666667
1,2026-04-09,LABORAL,06:00,147.0,125.14567260669891,132.075
1,2026-04-09,LABORAL,06:30,99.0,129.61198791191,131.96666666666667
1,2026-04-09,LABORAL,07:00,153.0,131.77249284029236,129.05
1,2026-04-09,LABORAL,07:30,147.0,131.31704671865813,133.39166666666668
1,2026-04-09,LABORAL,08:00,103.0,128.48755659413118,129.3613445378151
1,2026-04-09,LABORAL,08:30,178.0,123.90564841031917,131.46218487394958
1,2026-04-09,LABORAL,09:00,140.0,118.38079588848194,135.92436974789916
1,2026-04-09,LABORAL,09:30,86.0,112.75307545146727,119.88333333333334
1,2026-04-09,LABORAL,10:00,78.0,107.79826071453078,98.65833333333333
1,2026-04-09,LABORAL,10:30,37.0,104.19174016081695,95.40833333333333
1,2026-04-09,LABORAL,11:00,148.0,102.50259661901585,92.54166666666667
1,2026-04-09,LABORAL,11:30,69.0,103.17852078143171,100.76666666666667
1,2026-04-09,LABORAL,12:00,84.0,106.48945503417761,110.675
1,2026-04-09,LABORAL,12:30,140.0,112.42039760910431,130.38333333333333
1,2026-04-09,LABORAL,13:00,160.0,120.53385151808166,138.6
1,2026-04-09,LABORAL,13:30,85.0,129.8493343992989,134.89166666666668
1,2026-04-09,LABORAL,14:00,111.0,138.80092838495213,148.8135593220339
1,2026-04-09,LABORAL,14:30,168.0,145.3274127278339,150.25833333333333
1,2026-04-09,LABORAL,15:00,189.0,147.1223204110027,167.60833333333332
1,2026-04-09,LABORAL,15:30,129.0,142.02899542812273,174.30252100840337
1,2026-04-09,LABORAL,16:00,109.0,128.51930570714728,142.81512605042016
1,2026-04-09,LABORAL,16:30,110.0,106.15736193589393,114.71666666666667
1,2026-04-09,LABORAL,17:00,91.0,75.9333840269947,71.64545454545454
1,2026-04-09,LABORAL,17:30,16.0,40.36493792501601,36.75
1,2026-04-10,LABORAL,04:30,113.0,109.28172564667508,114.80833333333334
1,2026-04-10,LABORAL,05:00,124.0,113.39620438841648,115.99159663865547
1,2026-04-10,LABORAL,05:30,139.0,119.45457592750398,133.725
1,2026-04-10,LABORAL,06:00,131.0,125.64351386139622,131.79166666666666
1,2026-04-10,LABORAL,06:30,93.0,130.47857954296316,131.64166666666668
1,2026-04-10,LABORAL,07:00,152.0,133.02684630020178,129.55
1,2026-04-10,LABORAL,07:30,98.0,132.9694997713654,133.25833333333333
1,2026-04-10,LABORAL,08:00,187.0,130.52746671147236,129.53781512605042
1,2026-04-10,LABORAL,08:30,81.0,126.30215629429273,131.3109243697479
1,2026-04-10,LABORAL,09:00,162.0,121.09303586376384,135.92436974789916
1,2026-04-10,LABORAL,09:30,144.0,115.7437202475476,119.34166666666667
1,2026-04-10,LABORAL,10:00,90.0,111.04401143655836,98.61666666666666
1,2026-04-10,LABORAL,10:30,87.0,107.68621712351646,94.94166666666666
1,2026-04-10,LABORAL,11:00,99.0,106.25033394483063,93.25833333333334
1,2026-04-10,LABORAL,11:30,100.0,107.18230225730838,100.4
1,2026-04-10,LABORAL,12:00,134.0,110.73587987382062,109.96666666666667
1,2026-04-10,LABORAL,12:30,88.0,116.86945713105735,130.58333333333334
1,2026-04-10,LABORAL,13:00,132.0,125.1171138297458,138.70833333333334
1,2026-04-10,LABORAL,13:30,162.0,134.4784117896592,134.3
1,2026-04-10,LABORAL,14:00,172.0,143.3841410814727,148.5084745762712
1,2026-04-10,LABORAL,14:30,205.0,149.78916397797894,150.51666666666668
1,2026-04-10,LABORAL,15:00,101.0,151.41780970766678,167.325
1,2026-04-10,LABORAL,15:30,211.0,146.14726683217327,173.50420168067228
1,2026-04-10,LABORAL,16:00,104.0,132.47036236803024,142.3781512605042
1,2026-04-10,LABORAL,16:30,165.0,109.94357475453678,114.05833333333334
1,2026-04-10,LABORAL,17:00,56.0,79.51051005490466,71.5909090909091
1,2026-04-11,SABADO,04:30,65.0,88.82926534512532,74.04
1,2026-04-11,SABADO,05:00,50.0,91.43118330395876,59.24
1,2026-04-11,SABADO,05:30,87.0,95.51551951672671,95.38461538461539
1,2026-04-11,SABADO,06:00,66.0,99.59521914617517,91.88461538461539
1,2026-04-11,SABADO,06:30,125.0,102.38552383610681,107.8076923076923
1,2026-04-11,SABADO,07:00,104.0,103.02258118623311,104.76923076923077
1,2026-04-11,SABADO,07:30,88.0,101.15537328782128,103.61538461538461
1,2026-04-11,SABADO,08:00,55.0,96.92021240365082,102.23076923076923
1,2026-04-11,SABADO,08:30,59.0,90.83288615079135,95.23076923076923
1,2026-04-11,SABADO,09:00,101.0,83.64491111255307,96.03846153846153
1,2026-04-11,SABADO,09:30,52.0,76.20611214550578,90.65384615384616
1,2026-04-11,SABADO,10:00,123.0,69.359426509505,75.8076923076923
1,2026-04-11,SABADO,10:30,103.0,63.87234508102638,91.08333333333333
1,2026-04-11,SABADO,11:00,63.0,60.3907626343464,89.34615384615384
1,2026-04-11,SABADO,11:30,58.0,59.39182620773794,84.76
1,2026-04-11,SABADO,12:00,176.0,61.115813756789606,83.8076923076923
1,2026-04-11,SABADO,13:00,57.0,71.93358168109819,65.95652173913044
1,2026-04-11,SABADO,13:30,92.0,79.45883321135953,69.72
1,2026-04-11,SABADO,14:00,62.0,86.47994928610686,83.08333333333333
1,2026-04-11,SABADO,15:00,69.0,90.83815552273751,68.375
1,2026-04-11,SABADO,15:30,82.0,83.94300079665899,58.69565217391305
1,2026-04-11,SABADO,16:00,44.0,68.83810764557644,58.91304347826087
1,2026-04-11,SABADO,16:30,43.0,45.00743549452527,72.26315789473684
1,2026-04-11,SABADO,17:30,30.0,-24.485863169603917,35.6
1,2026-04-12,DOMINGO,07:30,30.0,40.30433087975834,31.291666666666668
1,2026-04-12,DOMINGO,08:00,28.0,38.193519481213826,38.95238095238095
1,2026-04-12,DOMINGO,09:30,31.0,24.63655491203518,35.388888888888886
1,2026-04-12,DOMINGO,10:30,36.0,17.54966621715048,35.36363636363637
1,2026-04-12,DOMINGO,12:00,36.0,23.415351591439546,35.611111111111114
1,2026-04-12,DOMINGO,13:30,23.0,51.25345364335226,29.789473684210527
1,2026-04-12,DOMINGO,14:30,22.0,69.3419865145864,37.0
1,2026-04-12,DOMINGO,15:30,37.0,68.93562359606645,44.22222222222222
1,2026-04-13,LABORAL,04:30,117.0,87.59857540357206,114.825
1,2026-04-13,LABORAL,05:00,119.0,93.95505894953784,116.0672268907563
1,2026-04-13,LABORAL,05:30,79.0,101.71180439859197,133.71666666666667
1,2026-04-13,LABORAL,06:00,138.0,109.39079553224752,131.65833333333333
1,2026-04-13,LABORAL,06:30,215.0,115.7332227834412,131.36666666666667
