route,dia_op,tipo_dia,n,demanda_media,mae_sarima,sesgo_sarima,rango_pred_sarima,rango_real,mae_media,sesgo_media,celdas_sin_media,aic,segundos
1,2026-05-06,LABORAL,25,107.6,37.432128912755935,10.724011199724043,28.10536686245895,168.0,34.51657263309987,14.778582251627206,0,44184.257727253236,8.232573000015691
1,2026-05-07,LABORAL,27,114.14814814814815,40.055578236269575,-31.97782275930982,24.827270447762032,196.0,22.899129333196658,6.580017395466332,0,44165.412588357554,8.540347800008021
1,2026-05-08,LABORAL,26,116.5,38.77347128127573,-30.407731655034766,34.80021006473892,204.0,33.58155325247345,7.361702119756365,0,44172.503152155274,15.708221000037156
1,2026-05-09,SABADO,25,75.8,36.332490302142716,21.024118919129798,29.463613550152374,130.0,27.128588342092694,4.526008313425705,0,44188.35111902163,23.383757499977946
1,2026-05-10,DOMINGO,10,37.2,14.21531137289739,0.5926636569183522,16.76197868388843,39.0,12.008475734791524,-1.5532580113385066,0,44183.02771403064,23.28236359998118
1,2026-05-11,LABORAL,26,105.57692307692308,75.59961085327588,-75.59961085327588,18.758838659757313,182.0,30.23442972742926,18.09557184673779,0,44100.55468253572,20.11079259996768
1,2026-05-12,LABORAL,26,116.46153846153847,31.773897748232905,-22.08911965454197,30.807514864317227,148.0,24.49751352683692,6.979246944933975,0,44106.565118061924,13.952668800018728
1,2026-05-13,LABORAL,26,116.11538461538461,40.1843777556276,-25.443176001307197,26.57729597766064,174.0,34.118081173713136,7.166538007069823,0,44082.35708929271,20.97299319994636
1,2026-05-14,LABORAL,27,110.18518518518519,28.39986199714533,-10.529998036699915,34.98124123574688,196.0,21.41270492710944,9.792013160963128,0,44087.045999566355,16.361672499915585
1,2026-05-15,LABORAL,26,121.03846153846153,46.86804545176718,-45.98325901689664,33.81485716531253,163.0,26.79269846601148,2.0203865742692426,0,44095.94402172709,7.7031532999826595
1,2026-05-16,SABADO,25,80.2,42.41988952484965,38.944208338954994,27.06052633016334,146.0,26.256848829431434,-0.4786588628762544,0,44087.78570368957,8.003359699971043
1,2026-05-17,DOMINGO,8,31.25,13.959834485167598,5.412728714478932,21.23461054895175,43.0,11.54289483736078,4.333803928269873,0,44101.32734358186,7.7075776000274345
1,2026-05-18,FESTIVO_PUENTE,13,28.615384615384617,12.775095507601804,1.7221325928501487,17.45940676973954,42.0,12.506410256410255,-2.8782051282051286,0,44000.386263831475,9.705583300092258
1,2026-05-19,LABORAL,26,127.07692307692308,107.81510723209394,-107.81510723209394,25.290646525225576,180.0,26.675089183212542,-4.098674664348097,0,43944.52345281135,7.615140700014308
1,2026-05-20,LABORAL,26,117.03846153846153,41.51628813883596,11.21678349798722,29.51780567971997,223.0,35.42537484885555,5.763531909662837,0,43948.18255679302,9.810031300061382
1,2026-05-22,LABORAL,26,108.42307692307692,30.02659180850327,-1.7709527133022849,34.63314000622525,162.0,29.242730189406505,14.21010362793379,0,43666.5672832487,9.042794699897058
1,2026-05-23,SABADO,23,79.95652173913044,33.01785359982675,16.549117400569227,23.263220570941115,124.0,25.205570999666406,1.120807779269917,0,43676.205405640576,8.784315500059165
1,2026-05-24,DOMINGO,12,27.583333333333332,22.438809828698027,22.438809828698027,22.440490539143788,34.0,11.441985994956196,9.178097106067307,0,43664.845365566514,9.05842770007439
1,2026-05-25,LABORAL,27,114.37037037037037,94.89378243820381,-94.89378243820381,21.477055078551636,181.0,27.916699276368917,4.855706154264679,0,43650.09912841914,10.636359500000253
1,2026-05-26,LABORAL,26,121.76923076923077,33.18815498137832,-19.50609966900266,32.30162072014696,164.0,28.787028279642747,0.5455297731641775,0,43668.472525095116,9.235297299921513
1,2026-05-27,LABORAL,25,116.16,36.866291619528944,-2.494937684499167,26.257293561657434,188.0,32.27381810833456,5.645191453943198,0,43651.729769094025,8.778045100043528
1,2026-05-28,LABORAL,26,112.3076923076923,35.85788462750388,-17.238800423524363,34.6676159857912,162.0,29.855196697513023,9.856578267090002,0,43635.82780077972,9.436985300038941
1,2026-05-29,LABORAL,26,114.88461538461539,34.31063291611892,-28.336476135436513,32.780109095174765,126.0,23.125947078077225,7.077126780727515,0,43633.45736345009,8.204276300035417
