route,dia_op,tipo_dia,hora,real,pred_xgboost,pred_media
3,2026-04-07,LABORAL,12:00,133.0,173.08484,170.94166666666666
3,2026-04-07,LABORAL,12:30,194.0,139.2958,138.09322033898306
3,2026-04-07,LABORAL,13:00,98.0,135.25275,138.44166666666666
3,2026-04-07,LABORAL,13:30,150.0,134.28308,134.30252100840337
3,2026-04-07,LABORAL,14:00,189.0,127.08079,127.72268907563026
3,2026-04-07,LABORAL,14:30,168.0,128.99445,143.95762711864407
3,2026-04-07,LABORAL,15:00,111.0,152.68605,142.3361344537815
3,2026-04-07,LABORAL,15:30,174.0,122.88681,136.0593220338983
3,2026-04-07,LABORAL,16:00,111.0,120.54461,106.58620689655173
3,2026-04-07,LABORAL,16:30,108.0,93.05074,83.74782608695652
3,2026-04-08,LABORAL,04:00,88.0,47.141056,55.9646017699115
3,2026-04-08,LABORAL,04:30,146.0,132.0206,142.5546218487395
3,2026-04-08,LABORAL,05:00,229.0,269.30304,266.775
3,2026-04-08,LABORAL,05:30,335.0,234.59998,241.44166666666666
3,2026-04-08,LABORAL,06:00,278.0,288.26263,298.34166666666664
3,2026-04-08,LABORAL,06:30,162.0,184.75452,213.575
3,2026-04-08,LABORAL,07:00,154.0,167.29459,172.89166666666668
3,2026-04-08,LABORAL,07:30,108.0,143.45786,151.4453781512605
3,2026-04-08,LABORAL,08:00,168.0,141.72684,139.56034482758622
3,2026-04-08,LABORAL,08:30,127.0,135.48828,139.58823529411765
3,2026-04-08,LABORAL,09:00,147.0,129.01057,136.61344537815125
3,2026-04-08,LABORAL,09:30,119.0,122.47103,119.38135593220339
3,2026-04-08,LABORAL,10:00,126.0,124.77758,129.27966101694915
3,2026-04-08,LABORAL,10:30,155.0,120.25139,114.95
3,2026-04-08,LABORAL,11:00,98.0,118.2455,110.0
3,2026-04-08,LABORAL,11:30,121.0,122.99285,130.65546218487395
3,2026-04-08,LABORAL,12:00,229.0,168.8652,170.475
3,2026-04-08,LABORAL,12:30,98.0,125.91908,138.47457627118644
3,2026-04-08,LABORAL,13:00,191.0,121.83831,138.03333333333333
3,2026-04-08,LABORAL,13:30,186.0,127.708244,133.91596638655463
3,2026-04-08,LABORAL,14:00,91.0,137.27892,127.63865546218487
3,2026-04-08,LABORAL,14:30,195.0,130.70535,143.97457627118644
3,2026-04-08,LABORAL,15:00,61.0,123.69817,141.9747899159664
3,2026-04-08,LABORAL,15:30,106.0,127.60974,136.64406779661016
3,2026-04-08,LABORAL,16:00,140.0,109.41896,106.13793103448276
3,2026-04-08,LABORAL,16:30,55.0,82.322235,83.54782608695652
3,2026-04-08,LABORAL,17:00,40.0,48.94341,53.36666666666667
3,2026-04-09,LABORAL,04:00,77.0,49.830402,56.29203539823009
3,2026-04-09,LABORAL,04:30,66.0,143.09636,142.1596638655462
3,2026-04-09,LABORAL,05:00,348.0,208.92393,267.39166666666665
3,2026-04-09,LABORAL,05:30,236.0,213.61159,241.125
3,2026-04-09,LABORAL,06:00,306.0,234.95537,298.75
3,2026-04-09,LABORAL,06:30,126.0,171.369,213.13333333333333
3,2026-04-09,LABORAL,07:00,183.0,152.10233,172.05
3,2026-04-09,LABORAL,07:30,230.0,139.45209,150.67226890756302
3,2026-04-09,LABORAL,08:00,90.0,131.68442,139.81034482758622
3,2026-04-09,LABORAL,08:30,120.0,127.59084,139.21848739495798
3,2026-04-09,LABORAL,09:00,139.0,123.15189,137.63025210084032
3,2026-04-09,LABORAL,09:30,145.0,124.95663,119.72033898305085
