route,dia_op,tipo_dia,hora,real,pred_decoder,pred_hibrido,pred_media
1,2026-04-07,LABORAL,14:30,114.0,143.64377,143.64376831054688,159.0785123966942
1,2026-04-07,LABORAL,15:00,190.0,146.26183,146.26182556152344,179.48347107438016
1,2026-04-07,LABORAL,15:30,194.0,141.85536,141.85536193847656,182.11618257261412
1,2026-04-07,LABORAL,16:00,198.0,130.64561,130.64561462402344,152.95850622406638
1,2026-04-07,LABORAL,16:30,148.0,119.04215,119.04215240478516,126.86307053941908
1,2026-04-07,LABORAL,17:00,82.0,107.25753,107.25753021240234,76.30603448275862
1,2026-04-08,LABORAL,04:30,126.0,134.44342,134.44342041015625,127.34710743801652
1,2026-04-08,LABORAL,05:00,117.0,137.36594,137.36593627929688,124.74688796680498
1,2026-04-08,LABORAL,05:30,125.0,139.74966,139.74966430664062,143.35537190082644
1,2026-04-08,LABORAL,06:00,132.0,140.62599,140.62599182128906,145.10743801652893
1,2026-04-08,LABORAL,06:30,189.0,139.27689,139.27688598632812,133.30705394190872
1,2026-04-08,LABORAL,07:00,53.0,136.44293,136.44293212890625,133.48347107438016
1,2026-04-08,LABORAL,07:30,118.0,133.14357,133.14356994628906,137.72314049586777
1,2026-04-08,LABORAL,08:00,125.0,130.01,130.00999450683594,135.88796680497924
1,2026-04-08,LABORAL,08:30,184.0,127.114235,127.1142349243164,138.07883817427387
1,2026-04-08,LABORAL,09:00,105.0,124.58838,124.58837890625,136.04149377593362
1,2026-04-08,LABORAL,09:30,120.0,122.49603,122.49603271484375,123.3305785123967
1,2026-04-08,LABORAL,10:00,151.0,121.10426,121.10426330566406,104.41322314049587
1,2026-04-08,LABORAL,10:30,70.0,120.744026,120.74402618408203,97.76446280991736
1,2026-04-08,LABORAL,11:00,118.0,121.82904,121.82904052734375,94.87603305785125
1,2026-04-08,LABORAL,11:30,88.0,124.465164,124.46516418457031,102.10743801652893
1,2026-04-08,LABORAL,12:00,112.0,127.69838,127.69837951660156,112.48347107438016
1,2026-04-08,LABORAL,12:30,146.0,131.21144,131.21144104003906,136.19917012448133
1,2026-04-08,LABORAL,13:00,159.0,134.94426,134.9442596435547,136.6198347107438
1,2026-04-08,LABORAL,13:30,60.0,138.83295,138.83294677734375,147.73553719008265
1,2026-04-08,LABORAL,14:00,226.0,142.81096,142.8109588623047,152.0875
1,2026-04-08,LABORAL,14:30,125.0,146.0091,146.00909423828125,158.72314049586777
1,2026-04-08,LABORAL,15:00,173.0,146.72375,146.7237548828125,179.48760330578511
1,2026-04-08,LABORAL,15:30,175.0,139.16081,139.1608123779297,182.31120331950208
1,2026-04-08,LABORAL,16:00,92.0,130.86078,130.86077880859375,153.0954356846473
1,2026-04-08,LABORAL,16:30,142.0,122.28519,122.28518676757812,126.85892116182572
1,2026-04-08,LABORAL,17:00,48.0,113.62514,113.62513732910156,75.95689655172414
1,2026-04-09,LABORAL,04:30,82.0,119.94689,119.94689178466797,127.30165289256199
1,2026-04-09,LABORAL,05:00,150.0,124.348755,124.3487548828125,124.40663900414938
