route,dia_op,tipo_dia,regimen,semanas_entrenamiento,n,demanda_media,filas_ajuste,arboles,mae,sesgo
1,2026-06-07,DOMINGO,ordinario,13,17,29.647058823529413,1734,83,11.888075323665843,4.092542423921473
1,2026-06-07,DOMINGO,ordinario,26,17,29.647058823529413,3885,79,12.345429700963637,4.321450289557962
1,2026-06-07,DOMINGO,ordinario,52,17,29.647058823529413,8358,100,13.441769992603975,4.452410080853631
1,2026-06-07,DOMINGO,ordinario,999,17,29.647058823529413,18896,150,12.452119939467487,4.4709685830508965
1,2026-06-08,FESTIVO_PUENTE,raro,8,8,24.625,936,76,19.68187379837036,16.00544023513794
1,2026-06-08,FESTIVO_PUENTE,raro,13,8,24.625,1737,71,14.591548681259155,10.497253179550171
1,2026-06-08,FESTIVO_PUENTE,raro,26,8,24.625,3880,75,13.466303825378418,9.198617935180664
1,2026-06-08,FESTIVO_PUENTE,raro,52,8,24.625,8354,111,14.39168930053711,8.694985389709473
1,2026-06-08,FESTIVO_PUENTE,raro,999,8,24.625,18908,128,11.741974115371704,6.543536424636841
1,2026-06-09,LABORAL,ordinario,8,25,114.64,936,63,27.317222595214844,0.9787380981445313
1,2026-06-09,LABORAL,ordinario,13,25,114.64,1737,62,27.625050354003907,4.932832336425781
1,2026-06-09,LABORAL,ordinario,26,25,114.64,3895,114,27.4221630859375,8.7738427734375
1,2026-06-09,LABORAL,ordinario,52,25,114.64,8354,136,29.95735870361328,17.116102600097655
1,2026-06-09,LABORAL,ordinario,999,25,114.64,18935,250,35.669739685058595,29.616347351074218
1,2026-06-10,LABORAL,ordinario,8,24,91.83333333333333,936,72,39.48289394378662,27.715157508850098
1,2026-06-10,LABORAL,ordinario,13,24,91.83333333333333,1737,66,38.681389808654785,27.32347011566162
1,2026-06-10,LABORAL,ordinario,26,24,91.83333333333333,3895,88,39.39799944559733,26.39793523152669
1,2026-06-10,LABORAL,ordinario,52,24,91.83333333333333,8352,107,43.1091521581014,34.855025927225746
1,2026-06-10,LABORAL,ordinario,999,24,91.83333333333333,18961,142,44.45280647277832,37.570273081461586
3,2026-04-02,FESTIVO,raro,8,19,31.0,1030,83,97.84700574372944,97.84700574372944
3,2026-04-02,FESTIVO,raro,13,19,31.0,1851,185,23.11813605459113,18.97477792438708
3,2026-04-02,FESTIVO,raro,26,19,31.0,4079,83,14.850832286633944,4.228512211849815
3,2026-04-02,FESTIVO,raro,52,19,31.0,8671,135,14.150232415450247,2.596199637965152
3,2026-04-02,FESTIVO,raro,999,19,31.0,17725,95,15.979338194194593,6.482308437949733
3,2026-04-03,FESTIVO,raro,8,11,21.818181818181817,1031,77,112.08560874245383,112.08560874245383
3,2026-04-03,FESTIVO,raro,13,11,21.818181818181817,1872,142,26.99784868413752,25.080197941173207
3,2026-04-03,FESTIVO,raro,26,11,21.818181818181817,4079,86,9.278451052579014,7.413398742675781
3,2026-04-03,FESTIVO,raro,52,11,21.818181818181817,8669,98,11.626278617165305,8.281750072132457
3,2026-04-03,FESTIVO,raro,999,11,21.818181818181817,17751,88,13.777409813620828,11.976382342251865
3,2026-04-04,SABADO,ordinario,8,23,60.17391304347826,1030,195,48.27930035798446,41.611651379129164
3,2026-04-04,SABADO,ordinario,13,23,60.17391304347826,1873,135,38.611239391824476,29.093822147535242
3,2026-04-04,SABADO,ordinario,26,23,60.17391304347826,4078,83,40.848119321076766,36.619664731233016
3,2026-04-04,SABADO,ordinario,52,23,60.17391304347826,8666,111,29.624819548233695,20.957743105681047
3,2026-04-04,SABADO,ordinario,999,23,60.17391304347826,17777,117,30.615543365478516,26.262960516888164
3,2026-04-05,DOMINGO,ordinario,8,11,27.181818181818183,1028,122,8.719073729081588,7.4830944754860615
3,2026-04-05,DOMINGO,ordinario,13,11,27.181818181818183,1874,183,11.006780450994318,10.401433771306818
3,2026-04-05,DOMINGO,ordinario,26,11,27.181818181818183,4078,112,15.81483182040128,15.81483182040128
